date,employee_id,opportunity_id,sao_type,stage
2026-02-03,emp_001,OPP-001,outbound,sao
2026-02-05,emp_001,OPP-002,outbound,sao
2026-02-10,emp_001,OPP-003,inbound,sao
2026-02-12,emp_001,OPP-004,outbound,sao
2026-02-14,emp_001,OPP-005,outbound,sao
2026-02-18,emp_001,OPP-006,outbound,sao
2026-02-20,emp_001,OPP-007,inbound,sao
2026-02-24,emp_001,OPP-008,outbound,sao
2026-02-04,emp_002,OPP-011,outbound,sao
2026-02-06,emp_002,OPP-012,outbound,sao
2026-02-11,emp_002,OPP-013,outbound,sao
2026-02-16,emp_002,OPP-014,inbound,sao
2026-02-19,emp_002,OPP-015,outbound,sao
2026-02-25,emp_003,OPP-021,outbound,sao
2026-02-07,emp_003,OPP-022,outbound,sao
2026-02-13,emp_003,OPP-023,outbound,sao
2026-02-17,emp_003,OPP-024,inbound,sao
2026-02-21,emp_003,OPP-025,outbound,sao
2026-02-26,emp_003,OPP-026,outbound,sao
